Genome	SRR22878281.fastq Relative Abundance (%)
SRR22878281.fastq_bin_760565	0.23826918
SRR22878281.fastq_bin_770814	0.22754504
SRR22878281.fastq_bin_770942	0.45541352
SRR22878281.fastq_bin_786708	0.21777296
SRR22878281.fastq_bin_843222	0.9208504
SRR22878281.fastq_bin_861208	0.15800385
SRR22878281.fastq_bin_870174	0.13363302
SRR22878281.fastq_bin_952057	0.40702644
SRR22878281.fastq_bin_976162	0.19784525
SRR22878282.fastq_bin_11756	0
SRR22878282.fastq_bin_2024	0.014350631
SRR22878282.fastq_bin_289431	0
SRR22878282.fastq_bin_291065	0.020804575
SRR22878282.fastq_bin_332620	0.0034348657
SRR22878282.fastq_bin_335615	0.009064923
SRR22878282.fastq_bin_370776	0.3078655
SRR22878282.fastq_bin_446643	0
SRR22878282.fastq_bin_484164	0.0053337943
SRR22878282.fastq_bin_575448	0
SRR22878282.fastq_bin_590945	13.59283
SRR22878282.fastq_bin_596555	0.057054486
SRR22878282.fastq_bin_599023	0.15198503
SRR22878282.fastq_bin_610670	0.09133699
SRR22878282.fastq_bin_649781	0
SRR22878282.fastq_bin_660044	0.0257197
SRR22878282.fastq_bin_692197	0
SRR22878282.fastq_bin_754860	0.0038919498
SRR22878282.fastq_bin_836214	0.03878242
SRR22878282.fastq_bin_870593	0.033439245
SRR22878282.fastq_bin_885747	0
SRR22878282.fastq_bin_892601	0.016968563
SRR22878282.fastq_bin_892974	0.009844358
SRR22878282.fastq_bin_894258	0.3410765
SRR22878282.fastq_bin_901601	4.8146095
SRR22878282.fastq_bin_939515	0.031337302
SRR22878283.fastq_bin_19238	0.007878869
SRR22878283.fastq_bin_220	0
SRR22878283.fastq_bin_262641	0.01782459
SRR22878283.fastq_bin_270555	0.007700738
SRR22878283.fastq_bin_27333	0.0034750674
SRR22878283.fastq_bin_286550	0.0058499575
SRR22878283.fastq_bin_288467	0
SRR22878283.fastq_bin_293487	0
SRR22878283.fastq_bin_299277	0
SRR22878283.fastq_bin_309632	0.013688777
SRR22878283.fastq_bin_319289	0.017934676
SRR22878283.fastq_bin_357648	0.07105666
SRR22878283.fastq_bin_361576	0
SRR22878283.fastq_bin_374669	0.18369374
SRR22878283.fastq_bin_389652	0.01834609
SRR22878283.fastq_bin_442058	0.012457882
SRR22878283.fastq_bin_450015	0.03592309
SRR22878283.fastq_bin_452711	0
SRR22878283.fastq_bin_455268	0.022049522
SRR22878283.fastq_bin_464441	0
SRR22878283.fastq_bin_468788	0.0059535285
SRR22878283.fastq_bin_469571	0
SRR22878283.fastq_bin_484169	0.036720466
SRR22878283.fastq_bin_492641	0
SRR22878283.fastq_bin_495986	0.0036169258
SRR22878283.fastq_bin_563799	0
SRR22878283.fastq_bin_597359	0.0026204626
SRR22878283.fastq_bin_599096	0.03403029
SRR22878283.fastq_bin_617109	0.0048981253
SRR22878283.fastq_bin_617325	0.005376523
SRR22878283.fastq_bin_626659	0
SRR22878283.fastq_bin_631081	0.05232746
SRR22878283.fastq_bin_640648	0
SRR22878283.fastq_bin_670273	0
SRR22878283.fastq_bin_681399	0.10015724
SRR22878283.fastq_bin_758824	0.0077359458
SRR22878283.fastq_bin_766374	0.0069563976
SRR22878283.fastq_bin_770595	0.0029031096
SRR22878283.fastq_bin_7858	0.012708812
SRR22878283.fastq_bin_8829	0.0072019
