	Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes	source_dataset	collection	tag
68	SemiBin_27	25.18	0.35	Neural Network (Specific Model)	11	0.824	5536	276.6720930232558	864909	0.41	860	161	30462		SRR24759598	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
69	SemiBin_28	82.5	2.95	Neural Network (Specific Model)	11	0.887	6513	273.8932080307561	2165028	0.38	2341	377	33958		SRR24759598	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
70	SemiBin_3	72.91	40.09	Neural Network (Specific Model)	11	0.83	4050	275.1253552257657	3144803	0.45	3167	747	26601		SRR24759598	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
71	SemiBin_30	28.64	0.12	Neural Network (Specific Model)	11	0.908	3732	254.17219387755105	656994	0.37	784	169	19350		SRR24759598	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
72	SemiBin_34	8.58	0.0	Neural Network (Specific Model)	11	0.784	3739	242.9744897959184	363565	0.31	392	94	22059		SRR24759598	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
73	SemiBin_35	7.43	0.1	Neural Network (Specific Model)	11	0.903	8431	246.0622009569378	340821	0.39	418	54	35261		SRR24759598	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
74	SemiBin_37	18.88	0.15	Neural Network (Specific Model)	11	0.816	5923	267.9374185136897	754523	0.38	767	139	32058		SRR24759598	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
75	SemiBin_38	65.52	6.26	Neural Network (Specific Model)	11	0.87	5051	279.677398583387	1495470	0.43	1553	308	27101		SRR24759598	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
76	SemiBin_4	24.27	0.28	Neural Network (Specific Model)	11	0.907	4689	302.3227176220807	470694	0.37	471	95	31381		SRR24759598	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
77	SemiBin_42	11.77	0.37	Neural Network (Specific Model)	11	0.869	10297	259.9230769230769	709576	0.51	793	85	34926		SRR24759598	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
78	SemiBin_43	11.64	0.01	Neural Network (Specific Model)	11	0.908	5435	320.05015673981194	337083	0.37	319	67	16911		SRR24759598	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
79	SemiBin_44	10.37	0.15	Neural Network (Specific Model)	11	0.74	5591	242.33461538461535	510183	0.29	520	96	18159		SRR24759598	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
80	SemiBin_48	59.04	2.62	Neural Network (Specific Model)	11	0.91	4668	275.41828254847644	982318	0.37	1083	205	51180		SRR24759598	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
81	SemiBin_49	100.0	0.4	Neural Network (Specific Model)	11	0.888	52033	317.0767149758454	5536385	0.56	5175	167	176966		SRR24759598	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
82	SemiBin_5	96.92	1.57	Neural Network (Specific Model)	11	0.882	12289	292.9621598639456	4682638	0.6	4704	486	79088		SRR24759598	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
83	SemiBin_52	100.0	0.62	Neural Network (Specific Model)	11	0.862	54527	318.1141595711132	3508161	0.39	3171	109	187436		SRR24759598	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
84	SemiBin_6	22.39	1.29	Neural Network (Specific Model)	11	0.92	4613	306.500938086304	532177	0.36	533	121	12478		SRR24759598	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
85	SemiBin_7	47.81	0.57	Neural Network (Specific Model)	11	0.875	5946	273.7486671744098	1230590	0.35	1313	231	22855		SRR24759598	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
86	SemiBin_70	9.56	0.0	Neural Network (Specific Model)	11	0.851	6167	251.98870056497177	313638	0.36	354	50	41450		SRR24759598	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
87	SemiBin_71	5.96	0.08	Neural Network (Specific Model)	11	0.703	5272	241.1078838174274	247171	0.39	241	52	14470		SRR24759598	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
88	SemiBin_74	89.0	2.13	Neural Network (Specific Model)	11	0.899	25417	291.51437699680514	1216825	0.45	1252	83	80957		SRR24759598	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
89	SemiBin_8	24.39	0.07	Neural Network (Specific Model)	11	0.823	3284	252.993006993007	394879	0.4	429	116	6680		SRR24759598	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
90	SemiBin_9	54.55	7.17	Neural Network (Specific Model)	11	0.832	6049	280.38036480686696	1880931	0.46	1864	322	30922		SRR24759598	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
91	SemiBin_91	12.28	1.7	Neural Network (Specific Model)	11	0.856	22925	261.9481808158765	830477	0.5	907	56	74194		SRR24759598	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
92	SemiBin_0	9.9	0.08	Neural Network (Specific Model)	11	0.857	5544	252.54255319148936	331677	0.44	376	60	26564		SRR24759599	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
93	SemiBin_105	100.0	0.42	Neural Network (Specific Model)	11	0.885	116630	317.25283088917763	5786441	0.55	5387	85	270519		SRR24759599	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
94	SemiBin_115	13.31	0.0	Neural Network (Specific Model)	11	0.895	3225	241.4321608040201	321495	0.32	398	98	8980		SRR24759599	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
95	SemiBin_12	13.97	0.03	Neural Network (Specific Model)	11	0.914	3519	323.5157068062827	405105	0.62	382	107	24806		SRR24759599	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
96	SemiBin_13	5.94	0.0	Neural Network (Specific Model)	11	0.893	23688	243.9604221635884	309334	0.37	379	30	43700		SRR24759599	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
97	SemiBin_138	88.42	0.34	Neural Network (Specific Model)	11	0.899	22693	289.7109634551495	1163009	0.46	1204	81	81905		SRR24759599	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
98	SemiBin_14	13.03	0.02	Neural Network (Specific Model)	11	0.814	3818	260.5135135135135	425296	0.46	444	110	11021		SRR24759599	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
99	SemiBin_15	9.11	0.28	Neural Network (Specific Model)	11	0.693	4360	222.35576923076923	598329	0.4	624	142	15953		SRR24759599	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
100	SemiBin_16	11.63	0.04	Neural Network (Specific Model)	11	0.747	5514	225.1248049921997	578163	0.3	641	109	32050		SRR24759599	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
101	SemiBin_170	7.12	0.08	Neural Network (Specific Model)	11	0.785	39908	287.8456221198157	473140	0.5	434	19	65731		SRR24759599	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
102	SemiBin_2	75.14	48.72	Neural Network (Specific Model)	11	0.83	4031	268.31148414601654	3634275	0.45	3753	858	41676		SRR24759599	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
103	SemiBin_21	12.12	0.18	Neural Network (Specific Model)	11	0.869	4923	267.3503836317136	360537	0.34	391	79	18749		SRR24759599	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
104	SemiBin_22	100.0	13.44	Gradient Boost (General Model)	11	0.893	13215	296.54412560909583	1837295	0.37	1847	188	90331		SRR24759599	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
105	SemiBin_23	83.36	18.26	Neural Network (Specific Model)	11	0.903	9215	278.96030042918454	1723724	0.37	1864	247	67126		SRR24759599	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
106	SemiBin_24	36.45	2.55	Neural Network (Specific Model)	11	0.847	3602	262.45786516853934	990751	0.42	1068	266	17884		SRR24759599	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
107	SemiBin_25	8.86	0.01	Neural Network (Specific Model)	11	0.903	5647	298.590405904059	268308	0.36	271	50	16954		SRR24759599	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
108	SemiBin_26	7.22	0.0	Neural Network (Specific Model)	11	0.875	4624	269.359649122807	315372	0.51	342	69	12747		SRR24759599	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
109	SemiBin_27	44.13	2.93	Neural Network (Specific Model)	11	0.808	24368	285.7934782608696	1266914	0.45	1196	105	182730		SRR24759599	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
110	SemiBin_3	63.55	9.37	Neural Network (Specific Model)	11	0.891	6555	292.5843097300051	1931870	0.36	1963	331	25162		SRR24759599	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
111	SemiBin_31	47.76	1.02	Neural Network (Specific Model)	11	0.82	4373	271.40866873065016	960815	0.4	969	229	13136		SRR24759599	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
112	SemiBin_33	98.53	1.69	Neural Network (Specific Model)	11	0.89	17508	299.0384	2516762	0.38	2500	218	65325		SRR24759599	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
113	SemiBin_34	86.93	3.35	Neural Network (Specific Model)	11	0.874	18408	315.3108890057864	2056471	0.34	1901	147	72943		SRR24759599	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
114	SemiBin_35	5.86	0.05	Neural Network (Specific Model)	11	0.812	4345	277.8973607038123	349225	0.5	341	84	11300		SRR24759599	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
115	SemiBin_40	9.2	0.39	Neural Network (Specific Model)	11	0.707	4797	214.30349344978168	415439	0.28	458	93	16254		SRR24759599	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
116	SemiBin_41	8.47	0.01	Neural Network (Specific Model)	11	0.882	25159	290.8260869565217	272759	0.36	276	23	46252		SRR24759599	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
117	SemiBin_43	17.47	1.37	Neural Network (Specific Model)	11	0.823	9953	270.84717948717946	961754	0.33	975	120	23338		SRR24759599	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
118	SemiBin_45	15.38	7.23	Neural Network (Specific Model)	11	0.828	5859	257.8510028653295	651133	0.32	698	115	35671		SRR24759599	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
119	SemiBin_46	46.24	0.77	Neural Network (Specific Model)	11	0.91	4562	261.7209612817089	645590	0.37	749	148	12750		SRR24759599	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
120	SemiBin_48	7.27	0.0	Neural Network (Specific Model)	11	0.718	4136	231.8266129032258	239850	0.34	248	56	13281		SRR24759599	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
121	SemiBin_49	95.44	0.07	Neural Network (Specific Model)	11	0.851	26600	311.270297029703	2214792	0.3	2020	118	166090		SRR24759599	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
122	SemiBin_5	60.61	19.75	Neural Network (Specific Model)	11	0.892	6735	293.5269046350559	1850974	0.34	1877	305	26439		SRR24759599	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
123	SemiBin_51	30.41	6.95	Neural Network (Specific Model)	11	0.881	6518	282.0	762625	0.36	795	143	18354		SRR24759599	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
124	SemiBin_52	8.24	0.35	Neural Network (Specific Model)	11	0.861	5624	185.6204506065858	370539	0.36	577	71	18693		SRR24759599	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
125	SemiBin_53	9.05	0.02	Neural Network (Specific Model)	11	0.875	4086	277.7843866171004	255531	0.41	269	62	15281		SRR24759599	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
126	SemiBin_54	13.65	1.06	Neural Network (Specific Model)	11	0.828	4235	242.4809941520468	599302	0.32	684	143	12980		SRR24759599	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
127	SemiBin_57	9.1	0.0	Neural Network (Specific Model)	11	0.919	3269	267.2957746478873	308652	0.44	355	91	9102		SRR24759599	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
128	SemiBin_58	100.0	2.65	Neural Network (Specific Model)	11	0.859	207037	316.42381088009114	3874285	0.39	3511	40	441541		SRR24759599	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
129	SemiBin_6	74.09	6.16	Neural Network (Specific Model)	11	0.903	6386	318.08252427184465	1305167	0.61	1236	227	25683		SRR24759599	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
130	SemiBin_60	4.75	0.02	Neural Network (Specific Model)	11	0.784	10936	254.28846153846155	202099	0.32	208	25	26200		SRR24759599	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
131	SemiBin_61	91.48	3.92	Neural Network (Specific Model)	11	0.905	9765	295.60603882099207	1361076	0.37	1391	173	38926		SRR24759599	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
132	SemiBin_62	12.02	0.33	Neural Network (Specific Model)	11	0.799	5787	261.8390243902439	602661	0.52	615	111	24761		SRR24759599	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
133	SemiBin_7	75.68	5.23	Neural Network (Specific Model)	11	0.862	6028	275.39724576271186	1807099	0.42	1888	327	37095		SRR24759599	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
134	SemiBin_71	64.83	0.06	Neural Network (Specific Model)	11	0.829	62161	301.0971524288107	1947743	0.45	1791	72	316147		SRR24759599	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
135	SemiBin_76	7.89	0.02	Neural Network (Specific Model)	11	0.868	13846	273.9887218045113	251320	0.36	266	24	62152		SRR24759599	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
136	SemiBin_8	30.54	0.46	Neural Network (Specific Model)	11	0.902	6993	293.88490566037734	517176	0.38	530	79	133378		SRR24759599	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
137	SemiBin_81	9.74	0.11	Neural Network (Specific Model)	11	0.737	5724	230.34860557768928	470103	0.28	502	94	19236		SRR24759599	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
138	SemiBin_89	16.37	0.04	Neural Network (Specific Model)	11	0.853	3541	226.89344262295083	485449	0.34	610	135	9048		SRR24759599	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
