Name	secondary_cluster	cluster_size	Completeness	Contamination	Genome_Size	GC_Content	domain	phylum	class	order	family	genus	species	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes	genome	threshold	cluster_method	comparison_algorithm	primary_cluster	user_genome	classification	GC (%)	L50	L90	Largest contig	N50	N90	Total length	Total length (>= 0 bp)	Total length (>= 1000 bp)	auN	CDSs	CRISPR arrays	gaps	hypotheticals	ncRNA regions	ncRNAs	oriCs	oriTs	oriVs	pseudogenes	rRNAs	sORFs	signal peptides	tRNAs	tmRNAs
SRR24759602_bin_50685	16_1	1	87.11	7.31	4418213	0.4	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Providencia	Providencia rettgeri	Neural Network (Specific Model)	11	0.85	4386	252.9614841701956	4959	1262	21127		SRR24759602_bin_50685	0.05	average	ANImf	16	SRR24759602_bin_50685	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Providencia;s__Providencia rettgeri	40.2	304.0	949.0	21127.0	4386.0	1792.0	4418213.0	4418213.0	4418213.0	5634.1	3880	7	0	554	21	25	1	0	0	44	5	1	0	71	1
SRR24759603_bin_106630	21_0	1	85.27	1.7	2246952	0.36	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Entomomonas	Entomomonas sp945283395	Neural Network (Specific Model)	11	0.857	6307	265.729863692689	2421	441	28875		SRR24759603_bin_106630	0.05	average	ANImf	21	SRR24759603_bin_106630	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Entomomonas;s__Entomomonas sp945283395	35.73	119.0	334.0	28875.0	6307.0	2664.0	2246952.0	2246952.0	2246952.0	7304.5	2042	0	0	557	9	6	0	0	0	4	3	0	0	27	1
SRR24759603_bin_355	32_1	6	83.57	2.45	1543830	0.37	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus helsingborgensis	Neural Network (Specific Model)	11	0.896	10107	290.9080025204789	1587	196	42997		SRR24759603_bin_355	0.05	average	ANImf	32	SRR24759603_bin_355	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus helsingborgensis	36.84	52.0	148.0	42997.0	10107.0	3922.0	1543830.0	1543830.0	1543830.0	11586.1	1407	1	0	80	21	4	1	0	0	12	0	0	0	17	1
SRR24759603_bin_51590	20_1	3	99.96	0.05	3013619	0.4	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Entomomonas		Neural Network (Specific Model)	11	0.889	188039	313.63671463671466	2849	29	347229		SRR24759603_bin_51590	0.05	average	ANImf	20	SRR24759603_bin_51590	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Entomomonas;s__	39.81	7.0	16.0	347229.0	188039.0	72127.0	3013619.0	3013619.0	3013619.0	182889.7	2827	0	0	545	11	18	0	0	0	1	2	0	0	43	0
SRR24759604_bin_107333	1_1	8	96.81	2.42	1882718	0.61	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium indicum	Neural Network (Specific Model)	11	0.888	18754	332.4258487194759	1679	244	53855		SRR24759604_bin_107333	0.05	average	ANImf	1	SRR24759604_bin_107333	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium indicum	60.57	35.0	136.0	53855.0	18754.0	2523.0	1882718.0	1882718.0	1882718.0	19551.1	1570	0	0	223	6	2	1	0	0	6	6	1	0	62	1
SRR24759604_bin_148146	33_0	1	75.44	2.08	1396370	0.37	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus apis	Neural Network (Specific Model)	11	0.898	6139	267.5897763578275	1565	266	32615		SRR24759604_bin_148146	0.05	average	ANImf	33	SRR24759604_bin_148146	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus apis	36.64	72.0	204.0	32615.0	6139.0	2823.0	1396370.0	1396370.0	1396370.0	7740.0	1301	0	0	101	14	6	0	0	0	8	0	0	0	24	1
SRR24759604_bin_148585	14_0	1	75.03	2.84	1697704	0.39	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Snodgrassella	Snodgrassella alvi_G	Neural Network (Specific Model)	11	0.8	4616	260.88198042602187	1737	419	15838		SRR24759604_bin_148585	0.05	average	ANImf	14	SRR24759604_bin_148585	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Snodgrassella;s__Snodgrassella alvi_G	38.7	133.0	332.0	15838.0	4616.0	2432.0	1697704.0	1697704.0	1697704.0	5127.2	1410	0	0	237	3	7	0	0	0	6	1	0	0	31	0
SRR24759605_bin_35353	18_0	1	99.99	0.7	3251563	0.37	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Arsenophonus	Arsenophonus apicola	Neural Network (Specific Model)	11	0.831	112661	297.7977565160013	3031	100	332169		SRR24759605_bin_35353	0.05	average	ANImf	18	SRR24759605_bin_35353	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Arsenophonus;s__Arsenophonus apicola	37.4	10.0	36.0	332169.0	112661.0	12269.0	3251563.0	3251563.0	3251563.0	125827.0	2959	2	0	226	27	31	1	0	0	48	13	3	0	63	1
SRR24759605_bin_65734	23_1	4	75.77	1.2	1054200	0.34	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Apilactobacillus	Apilactobacillus apinorum	Neural Network (Specific Model)	11	0.905	8348	282.3895297249334	1127	151	22312		SRR24759605_bin_65734	0.05	average	ANImf	23	SRR24759605_bin_65734	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Apilactobacillus;s__Apilactobacillus apinorum	34.43	41.0	115.0	22312.0	8348.0	3969.0	1054200.0	1054200.0	1054200.0	9971.8	977	0	0	87	15	3	0	0	0	4	1	0	0	16	0
SRR24759606_bin_22995	19_1	4	99.99	0.53	3382069	0.36	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Entomomonas		Neural Network (Specific Model)	11	0.899	271820	318.9446540880503	3180	24	430480		SRR24759606_bin_22995	0.05	average	ANImf	19	SRR24759606_bin_22995	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Entomomonas;s__	35.77	5.0	15.0	430480.0	271820.0	76261.0	3382069.0	3382069.0	3382069.0	247610.7	3160	0	0	577	18	19	1	0	0	4	1	0	0	39	1
SRR24759606_bin_47167	16_2	1	100.0	0.37	4580505	0.4	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Providencia	Providencia rettgeri_D	Neural Network (Specific Model)	11	0.863	301940	318.7693981145758	4137	30	645620		SRR24759606_bin_47167	0.05	average	ANImf	16	SRR24759606_bin_47167	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Providencia;s__Providencia rettgeri_D	40.1	6.0	14.0	645620.0	301940.0	124058.0	4580505.0	4580505.0	4580505.0	327680.7	4112	0	0	61	29	36	1	0	0	6	2	6	0	63	1
SRR24759606_bin_54634	24_1	15	98.66	1.47	1404564	0.37	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Apilactobacillus	Apilactobacillus kunkeei_C	Neural Network (Specific Model)	11	0.899	23540	300.7667617689016	1402	98	89870		SRR24759606_bin_54634	0.05	average	ANImf	24	SRR24759606_bin_54634	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Apilactobacillus;s__Apilactobacillus kunkeei_C	37.12	20.0	64.0	89870.0	23540.0	6110.0	1404564.0	1404564.0	1404564.0	28147.2	1329	0	0	64	23	4	1	0	0	0	3	0	0	51	1
SRR24759607_bin_27236	27_2	1	78.78	7.15	2195362	0.34	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Gilliamella	Gilliamella apicola_N	Neural Network (Specific Model)	11	0.869	8987	297.75724976613657	2138	293	30802		SRR24759607_bin_27236	0.05	average	ANImf	27	SRR24759607_bin_27236	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Gilliamella;s__Gilliamella apicola_N	34.2	82.0	226.0	30802.0	8987.0	3951.0	2195362.0	2195362.0	2195362.0	10309.5	1886	1	0	93	13	3	0	0	0	6	0	0	0	32	0
SRR24759608_bin_64934	15_1	2	100.0	0.05	3864863	0.42	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Providencia	Providencia alcalifaciens	Neural Network (Specific Model)	11	0.863	200038	310.1415041782729	3590	31	456138		SRR24759608_bin_64934	0.05	average	ANImf	15	SRR24759608_bin_64934	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Providencia;s__Providencia alcalifaciens	41.81	7.0	19.0	456138.0	200038.0	57885.0	3864863.0	3864863.0	3864863.0	230083.2	3565	1	0	51	34	27	1	0	0	6	3	5	0	62	1
SRR24759610_bin_19	35_1	7	99.53	0.39	2744679	0.38	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis	Neural Network (Specific Model)	11	0.888	17057	293.1163544668588	2776	250	65421		SRR24759610_bin_19	0.05	average	ANImf	35	SRR24759610_bin_19	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	37.62	56.0	166.0	65421.0	17057.0	5167.0	2744679.0	2744679.0	2744679.0	19118.4	2560	0	0	74	36	27	2	1	0	12	2	2	0	33	1
SRR24759610_bin_70833	9_1	2	80.63	18.57	2079111	0.45	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Bartonella_A		Gradient Boost (General Model)	11	0.823	7157	274.1089774363898	2083	362	26666		SRR24759610_bin_70833	0.05	average	ANImf	9	SRR24759610_bin_70833	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella_A;s__	45.32	90.0	282.0	26666.0	7157.0	3069.0	2079111.0	2079111.0	2079111.0	8706.5	1822	0	0	219	4	5	0	0	0	24	0	0	0	32	0
SRR24759611_bin_106297	28_0	1	76.89	9.79	2299311	0.34	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Gilliamella	Gilliamella apis_A	Neural Network (Specific Model)	11	0.871	4441	268.8696177062374	2485	582	20570		SRR24759611_bin_106297	0.05	average	ANImf	28	SRR24759611_bin_106297	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Gilliamella;s__Gilliamella apis_A	34.03	161.0	457.0	20570.0	4441.0	2169.0	2299311.0	2299311.0	2299311.0	5745.2	1961	4	0	192	10	6	0	0	0	16	1	0	0	23	0
SRR24759611_bin_62503	27_1	2	78.66	5.01	2355762	0.34	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Gilliamella	Gilliamella apicola	Neural Network (Specific Model)	11	0.867	8935	283.9787676935887	2402	364	44196		SRR24759611_bin_62503	0.05	average	ANImf	27	SRR24759611_bin_62503	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Gilliamella;s__Gilliamella apicola	33.96	80.0	252.0	44196.0	8935.0	3144.0	2355762.0	2355762.0	2355762.0	11512.3	2088	2	0	177	13	5	0	0	0	18	2	0	0	30	1
SRR24759612_bin_52183	36_0	1	99.85	0.99	4560752	0.36	Bacteria	Bacillota	Bacilli	Bacillales_D	Amphibacillaceae	Virgibacillus	Virgibacillus proomii_B	Neural Network (Specific Model)	11	0.73	48801	265.0734557595993	4193	138	139103		SRR24759612_bin_52183	0.05	average	ANImf	36	SRR24759612_bin_52183	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales_D;f__Amphibacillaceae;g__Virgibacillus;s__Virgibacillus proomii_B	35.85	31.0	93.0	139103.0	48801.0	16425.0	4560752.0	4560752.0	4560752.0	54862.1	4125	9	0	564	57	22	0	0	0	42	3	0	0	37	1
SRR24759613_bin_105744	3_1	9	98.77	0.13	3595826	0.42	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Novisyntrophococcus	Novisyntrophococcus liquoris	Gradient Boost (General Model)	11	0.905	72207	322.2806757557795	3374	176	198984		SRR24759613_bin_105744	0.05	average	ANImf	3	SRR24759613_bin_105744	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Novisyntrophococcus;s__Novisyntrophococcus liquoris	42.19	17.0	52.0	198984.0	72207.0	16488.0	3595826.0	3595826.0	3595826.0	80132.7	3241	6	0	294	26	73	1	0	0	18	1	0	0	57	1
SRR24759613_bin_38453	10_0	1	88.24	1.45	2140910	0.42	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Bartonella_A	Bartonella_A sp945285915	Neural Network (Specific Model)	11	0.862	11076	304.7962413452028	2022	257	37304		SRR24759613_bin_38453	0.05	average	ANImf	10	SRR24759613_bin_38453	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella_A;s__Bartonella_A sp945285915	42.08	69.0	192.0	37304.0	11076.0	4028.0	2140910.0	2140910.0	2140910.0	12014.1	1820	1	0	306	5	7	0	0	0	4	0	0	0	31	1
SRR24759613_bin_39911	34_1	17	97.52	0.23	1276613	0.45	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Fructobacillus	Fructobacillus fructosus	Neural Network (Specific Model)	11	0.899	132427	302.2809786898185	1267	17	213978		SRR24759613_bin_39911	0.05	average	ANImf	34	SRR24759613_bin_39911	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Fructobacillus;s__Fructobacillus fructosus	45.21	4.0	9.0	213978.0	132427.0	70986.0	1276613.0	1276613.0	1276613.0	141018.8	1254	0	0	71	21	3	0	0	0	11	2	0	0	35	1
SRR24759613_bin_56459	30_1	4	85.51	0.83	1473654	0.37	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Bombilactobacillus	Bombilactobacillus mellis	Neural Network (Specific Model)	11	0.899	15190	301.21730245231606	1468	132	45328		SRR24759613_bin_56459	0.05	average	ANImf	30	SRR24759613_bin_56459	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Bombilactobacillus;s__Bombilactobacillus mellis	36.78	30.0	95.0	45328.0	15190.0	5360.0	1473654.0	1473654.0	1473654.0	17778.5	1342	0	0	72	14	3	0	0	0	8	1	0	0	20	1
SRR24759614_bin_135155	13_1	8	88.6	1.92	2035396	0.42	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Snodgrassella	Snodgrassella alvi	Neural Network (Specific Model)	11	0.856	10773	298.16410256410256	1950	246	31438		SRR24759614_bin_135155	0.05	average	ANImf	13	SRR24759614_bin_135155	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Snodgrassella;s__Snodgrassella alvi	42.17	59.0	178.0	31438.0	10773.0	3980.0	2035396.0	2035396.0	2035396.0	12807.7	1733	0	0	124	3	6	1	0	0	12	0	0	0	44	0
SRR24759614_bin_135650	5_0	1	92.98	1.32	3306390	0.36	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Mobilisporobacter		Gradient Boost (General Model)	11	0.865	10278	275.32603686635946	3472	456	68220		SRR24759614_bin_135650	0.05	average	ANImf	5	SRR24759614_bin_135650	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mobilisporobacter;s__	36.45	99.0	319.0	68220.0	10278.0	3340.0	3306390.0	3306390.0	3306390.0	12879.4	3134	3	0	760	22	7	0	0	0	29	0	1	0	42	1
SRR24759615_bin_55433	29_0	1	75.72	6.96	2390088	0.35	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Gilliamella	Gilliamella apicola_R	Neural Network (Specific Model)	11	0.865	11779	298.0129589632829	2315	268	53035		SRR24759615_bin_55433	0.05	average	ANImf	29	SRR24759615_bin_55433	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Gilliamella;s__Gilliamella apicola_R	35.24	65.0	195.0	53035.0	11779.0	3930.0	2390088.0	2390088.0	2390088.0	14482.4	2049	3	0	124	9	5	0	0	0	16	3	0	0	26	0
SRR24759616_bin_28305	31_1	3	77.35	3.09	1403520	0.36	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus melliventris	Neural Network (Specific Model)	11	0.898	11498	293.7271458478716	1433	157	36424		SRR24759616_bin_28305	0.05	average	ANImf	31	SRR24759616_bin_28305	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus melliventris	36.39	39.0	117.0	36424.0	11498.0	4425.0	1403520.0	1403520.0	1403520.0	13623.3	1279	1	0	42	13	6	0	0	0	4	0	1	0	13	0
SRR24759616_bin_33137	17_1	12	100.0	0.1	3778261	0.39	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Proteus	Proteus mirabilis	Neural Network (Specific Model)	11	0.858	209465	315.5282798833819	3430	29	428888		SRR24759616_bin_33137	0.05	average	ANImf	17	SRR24759616_bin_33137	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Proteus;s__Proteus mirabilis	38.58	6.0	18.0	428888.0	209465.0	57232.0	3778261.0	3778261.0	3778261.0	234422.7	3408	0	0	54	27	31	1	0	0	5	4	4	0	61	1
